! Transport data for C3MechLiteV4.0.1_H2-NH3_25sp
HE                    0       10.20      2.57      0.00      0.00      0.00
H2                    1       38.00      2.92      0.00      0.79    280.00
H                     0      145.00      2.05      0.00      0.00      0.00
O                     0       80.00      2.75      0.00      0.00      0.00
OH                    1       80.00      2.75      0.00      0.00      0.00
H2O                   2      572.40      2.60      1.84      0.00      4.00
O2                    1      107.40      3.45      0.00      1.60      3.80
N2                    1       97.53      3.62      0.00      1.76      4.00
AR                    0      136.50      3.33      0.00      0.00      0.00
H2O2                  2      107.40      3.45      0.00      0.00      3.80
HO2                   2      107.40      3.45      0.00      0.00      1.00
NH3                   2      481.00      2.92      1.47      0.00     10.00
NH2                   2       80.00      2.65      0.00      2.26      4.00
NO2                   2      333.59      3.85      0.40      0.00      1.00
HONO                  2      350.00      3.95      1.64      0.00      1.00
NH                    1       80.00      2.65      0.00      0.00      4.00
N                     0       71.40      3.30      0.00      0.00      0.00
HNO                   2      170.00      3.43      1.62      0.00      1.00
NO                    1      139.32      3.34      0.20      1.76      4.00
H2NO                  2      116.70      3.49      0.00      0.00      1.00
NNH                   2       71.40      3.80      0.00      0.00      1.00
N2O                   1      232.40      3.83      0.00      0.00      1.00
N2H2                  2       71.40      3.80      0.00      0.00      1.00
N2H3                  2      200.00      3.90      0.00      0.00      1.00
N2H4                  2      205.00      4.23      0.00      4.26      1.50
END
